INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
1	menu	Google Chrome	(99, 0)	(162, 27)	''
2	menu	System	(1800, 0)	(106, 27)	''
3	push-button	Google Chrome	(0, 33)	(70, 64)	''
4	push-button	Terminal	(0, 101)	(70, 64)	''
5	push-button	Visual Studio Code	(0, 169)	(70, 64)	''
6	push-button	Files	(0, 237)	(70, 64)	''
7	push-button	Text Editor	(0, 305)	(70, 64)	''
8	push-button	LibreOffice Calc	(0, 373)	(70, 64)	''
9	push-button	LibreOffice Writer	(0, 441)	(70, 64)	''
10	push-button	Document Viewer	(0, 509)	(70, 64)	''
11	push-button	Floppy Disk	(0, 580)	(70, 64)	''
12	push-button	Trash	(0, 648)	(70, 64)	''
13	toggle-button	Show Applications	(0, 1010)	(70, 70)	''
14	icon		(103, 33)	(64, 64)	''
15	label	Home	(115, 101)	(40, 17)	'Home'
16	icon		(1807, 969)	(64, 64)	''
17	label	data.​csv	(1811, 1037)	(56, 17)	'data.\u200bcsv'
18	icon		(1807, 852)	(64, 64)	''
19	label	logistic_​regression.​ipynb	(1780, 920)	(119, 34)	'logistic_\u200bregression.\u200bipynb'
20	push-button	Minimise	(1788, 27)	(30, 35)	'Minimise'
21	push-button	Restore	(1828, 27)	(30, 35)	'Restore'
22	push-button	Close	(1868, 27)	(38, 35)	'Close'
23	push-button	Search tabs	(76, 27)	(28, 41)	'Search tabs'
24	push-button	Close	(312, 33)	(28, 28)	'Close'
25	push-button	Close	(550, 33)	(28, 28)	'Close'
26	push-button	New Tab	(586, 27)	(28, 41)	'New Tab'
27	push-button	Back	(70, 73)	(39, 34)	'Back'
28	push-button	Reload	(147, 73)	(34, 34)	'Reload'
29	push-button	View site information	(195, 78)	(24, 24)	''
30	entry	Address and search bar	(227, 78)	(1414, 24)	'localhost:8888/lab/tree/logistic_regression.ipynb'
31	push-button	Bookmark this tab	(1643, 78)	(24, 24)	''
32	push-button	Side panel	(1688, 73)	(34, 34)	'Side panel'
33	push-button	You	(1724, 73)	(34, 34)	'You'
34	push-button	Finish update	(1763, 73)	(143, 34)	'Finish update'
35	document-web	logistic_reg… - JupyterLab	(70, 114)	(1836, 966)	''
36	image		(78, 117)	(16, 21)	''
37	menu-item	File	(103, 114)	(40, 28)	''
38	section		(112, 115)	(22, 27)	'File'
39	static	File	(112, 121)	(22, 14)	'File'
40	menu-item	Edit	(142, 114)	(42, 28)	''
41	section		(151, 115)	(24, 27)	'Edit'
42	static	Edit	(151, 121)	(24, 14)	'Edit'
43	menu-item	View	(183, 114)	(48, 28)	''
44	section		(192, 115)	(30, 27)	'View'
45	static	View	(192, 121)	(30, 14)	'View'
46	menu-item	Run	(230, 114)	(42, 28)	''
47	section		(239, 115)	(24, 27)	'Run'
48	static	Run	(239, 121)	(24, 14)	'Run'
49	menu-item	Kernel	(271, 114)	(58, 28)	''
50	section		(280, 115)	(40, 27)	'Kernel'
51	static	Kernel	(280, 121)	(40, 14)	'Kernel'
52	menu-item	Tabs	(328, 114)	(46, 28)	''
53	section		(337, 115)	(28, 27)	'Tabs'
54	static	Tabs	(337, 121)	(28, 14)	'Tabs'
55	menu-item	Settings	(373, 114)	(67, 28)	''
56	section		(382, 115)	(49, 27)	'Settings'
57	static	Settings	(382, 121)	(49, 14)	'Settings'
58	menu-item	Help	(439, 114)	(47, 28)	''
59	section		(448, 115)	(29, 27)	'Help'
60	static	Help	(448, 121)	(29, 14)	'Help'
61	image		(76, 158)	(20, 20)	''
62	image		(76, 211)	(20, 20)	''
63	image		(76, 264)	(20, 20)	''
64	image		(76, 317)	(20, 20)	''
65	section	New Launcher (Ctrl+Shift+L)	(119, 154)	(72, 21)	''
66	image		(147, 156)	(16, 17)	''
67	section	New Folder	(199, 154)	(40, 21)	''
68	image		(211, 156)	(16, 17)	''
69	section	Upload Files	(247, 154)	(40, 21)	''
70	image		(259, 156)	(16, 17)	''
71	section	Refresh the file browser.	(295, 154)	(40, 21)	''
72	image		(307, 156)	(16, 17)	''
73	entry	Filter files by name	(115, 191)	(219, 30)	''
74	image		(312, 198)	(16, 16)	''
75	section		(115, 229)	(226, 17)	'/'
76	section	~/Desktop	(115, 228)	(22, 17)	''
77	image		(115, 228)	(20, 17)	''
78	static	/	(137, 229)	(5, 14)	'/'
79	section		(103, 254)	(113, 24)	'Name'
80	static	Name	(115, 258)	(36, 14)	'Name'
81	image		(184, 256)	(20, 20)	''
82	section		(216, 256)	(137, 20)	'Last Modified'
83	static	Last Modified	(258, 260)	(83, 14)	'Last Modified'
84	list-item	Name: data.csv Size: 3.7 KB Created: 6/24/25, 3:48 AM Modified: 6/24/25, 3:48 AM Writable: true	(103, 279)	(250, 24)	''
85	image		(117, 283)	(16, 16)	''
86	section	data.csv	(139, 284)	(77, 14)	'data.csv'
87	static	data.csv	(139, 284)	(49, 14)	'data.csv'
88	section	6/24/25, 3:48 AM	(216, 284)	(125, 14)	'12 minutes ago'
89	static	12 minutes ago	(250, 284)	(91, 14)	'12 minutes ago'
90	list-item	Name: logistic_regression.ipynb Size: 6.1 KB Created: 6/24/25, 4:01 AM Modified: 6/24/25, 4:01 AM Writable: true Kernel: Python 3 (ipykernel)	(103, 303)	(250, 24)	''
91	section		(107, 311)	(5, 10)	'●'
92	static	●	(107, 311)	(5, 9)	'●'
93	image		(117, 307)	(16, 16)	''
94	section		(139, 308)	(77, 14)	'logistic_regression.ipynb'
95	static	logistic_regression.ipynb	(139, 308)	(75, 14)	'logistic_regression.ipynb'
96	section	6/24/25, 4:01 AM	(216, 308)	(125, 14)	'now'
97	static	now	(315, 308)	(26, 14)	'now'
98	image		(369, 153)	(14, 15)	''
99	section		(387, 148)	(164, 25)	'logistic_regression.ipynb'
100	static	logistic_regression.ipynb	(387, 153)	(147, 14)	'logistic_regression.ipynb'
101	section	Close logistic_regression.ipynb	(551, 152)	(16, 17)	''
102	image		(551, 152)	(16, 17)	''
103	push-button	New Launcher	(576, 148)	(24, 25)	''
104	image		(580, 152)	(16, 16)	''
105	section	Save and create checkpoint (Ctrl+S)	(367, 178)	(21, 21)	''
106	image		(369, 180)	(17, 17)	''
107	section	Insert a cell below (B)	(396, 178)	(21, 21)	''
108	image		(398, 180)	(17, 17)	''
109	section	Cut this cell (X)	(425, 178)	(21, 21)	''
110	image		(427, 180)	(17, 17)	''
111	section	Copy this cell (C)	(454, 178)	(21, 21)	''
112	image		(456, 180)	(17, 17)	''
113	section	Paste this cell from the clipboard (V)	(483, 178)	(21, 21)	''
114	image		(485, 180)	(17, 17)	''
115	section	Run this cell and advance (Shift+Enter)	(512, 178)	(21, 21)	''
116	image		(514, 180)	(17, 17)	''
117	section	Interrupt the kernel	(541, 178)	(21, 21)	''
118	image		(543, 180)	(17, 17)	''
119	section	Restart the kernel	(570, 178)	(21, 21)	''
120	image		(572, 180)	(17, 17)	''
121	section	Restart the kernel and run all cells	(599, 178)	(21, 21)	''
122	image		(601, 180)	(17, 17)	''
123	combo-box	Cell type	(624, 176)	(98, 25)	''
124	menu-item	Markdown	(624, 176)	(98, 25)	'Markdown'
125	image		(699, 180)	(16, 16)	''
126	section	Notebook	(1600, 178)	(83, 21)	''
127	push-button	Notebook	(1600, 178)	(83, 21)	''
128	section		(1602, 178)	(79, 21)	'Notebook'
129	image		(1661, 180)	(20, 17)	''
130	static	Notebook	(1602, 181)	(60, 15)	'Notebook'
131	section	Enable Debugger	(1690, 178)	(21, 21)	''
132	image		(1693, 180)	(17, 17)	''
133	section	Switch kernel	(1719, 178)	(123, 21)	''
134	push-button	Python 3 (ipykernel)	(1719, 178)	(123, 21)	''
135	section		(1721, 178)	(119, 21)	'Python 3 (ipykernel)'
136	static	Python 3 (ipykernel)	(1721, 181)	(119, 15)	'Python 3 (ipykernel)'
137	push-button	Click to add a cell.	(438, 206)	(1409, 28)	'Click to add a cell.'
138	image		(1880, 158)	(20, 20)	''
139	image		(1880, 211)	(20, 20)	''
140	toggle-button	Simple	(94, 1058)	(88, 20)	''
141	label	Simple Interface (Ctrl+Shift+D)	(98, 1061)	(40, 14)	'Simple'
142	static	Simple	(98, 1061)	(40, 14)	'Simple'
143	section	0 1	(203, 1056)	(79, 24)	''
144	section		(203, 1056)	(8, 24)	'0'
145	static	0	(203, 1061)	(8, 14)	'0'
146	image		(220, 1061)	(21, 18)	''
147	section		(247, 1056)	(8, 24)	'1'
148	static	1	(247, 1061)	(8, 14)	'1'
149	image		(262, 1060)	(21, 18)	''
150	section	Python 3 (ipykernel) | Idle	(298, 1061)	(150, 14)	'Python 3 (ipykernel) | Idle'
151	static	Python 3 (ipykernel) | Idle	(298, 1061)	(150, 14)	'Python 3 (ipykernel) | Idle'
152	section	1 notification	(1852, 1056)	(36, 24)	''
153	section		(1852, 1056)	(8, 24)	'1'
154	static	1	(1852, 1061)	(8, 14)	'1'
155	image		(1868, 1060)	(21, 18)	''
156	section	logistic_regression.ipynb	(1690, 1061)	(147, 14)	'logistic_regression.ipynb'
157	static	logistic_regression.ipynb	(1690, 1061)	(147, 14)	'logistic_regression.ipynb'
158	section	Ln 1, Col 1	(1614, 1061)	(61, 14)	'Ln 1, Col 1'
159	static	Ln 1, Col 1	(1614, 1061)	(61, 14)	'Ln 1, Col 1'
160	section	Notebook not trusted: 1 of 18 code cells trusted.	(1572, 1056)	(33, 24)	''
161	image		(1578, 1058)	(20, 18)	''
162	section	Notebook is in Command mode	(1456, 1056)	(112, 24)	'Mode: Command'
163	static	Mode: Command	(1462, 1061)	(100, 14)	'Mode: Command'
