INDEX	TAG	NAME	POSITION (top-left x & y)	SIZE (width & height)	TEXT
1	menu	Google Chrome	(99, 0)	(162, 27)	''
2	menu	System	(1814, 0)	(106, 27)	''
3	push-button	Google Chrome	(0, 33)	(70, 64)	''
4	push-button	Terminal	(0, 101)	(70, 64)	''
5	push-button	Visual Studio Code	(0, 169)	(70, 64)	''
6	push-button	Files	(0, 237)	(70, 64)	''
7	push-button	Text Editor	(0, 305)	(70, 64)	''
8	push-button	LibreOffice Calc	(0, 373)	(70, 64)	''
9	push-button	LibreOffice Writer	(0, 441)	(70, 64)	''
10	push-button	Document Viewer	(0, 509)	(70, 64)	''
11	push-button	Floppy Disk	(0, 580)	(70, 64)	''
12	push-button	Trash	(0, 648)	(70, 64)	''
13	toggle-button	Show Applications	(0, 1010)	(70, 70)	''
14	icon		(104, 33)	(64, 64)	''
15	label	Home	(116, 101)	(40, 17)	'Home'
16	push-button	Minimise	(1802, 27)	(30, 35)	'Minimise'
17	push-button	Restore	(1842, 27)	(30, 35)	'Restore'
18	push-button	Close	(1882, 27)	(38, 35)	'Close'
19	push-button	Search tabs	(76, 27)	(28, 41)	'Search tabs'
20	push-button	Close	(312, 33)	(28, 28)	'Close'
21	push-button	Close	(550, 33)	(28, 28)	'Close'
22	push-button	New Tab	(586, 27)	(28, 41)	'New Tab'
23	push-button	Reload	(147, 73)	(34, 34)	'Reload'
24	push-button	View site information	(195, 78)	(24, 24)	''
25	entry	Address and search bar	(227, 78)	(1428, 24)	'localhost:8888/lab'
26	push-button	You	(1738, 73)	(34, 34)	'You'
27	push-button	Finish update	(1777, 73)	(143, 34)	'Finish update'
28	document-web	JupyterLab	(70, 114)	(1850, 966)	''
29	image		(78, 117)	(16, 21)	''
30	menu-item	File	(103, 114)	(40, 28)	''
31	section		(112, 115)	(22, 27)	'File'
32	static	File	(112, 121)	(22, 14)	'File'
33	menu-item	Edit	(142, 114)	(42, 28)	''
34	section		(151, 115)	(24, 27)	'Edit'
35	static	Edit	(151, 121)	(24, 14)	'Edit'
36	menu-item	View	(183, 114)	(48, 28)	''
37	section		(192, 115)	(30, 27)	'View'
38	static	View	(192, 121)	(30, 14)	'View'
39	menu-item	Run	(230, 114)	(42, 28)	''
40	section		(239, 115)	(24, 27)	'Run'
41	static	Run	(239, 121)	(24, 14)	'Run'
42	menu-item	Kernel	(271, 114)	(58, 28)	''
43	section		(280, 115)	(40, 27)	'Kernel'
44	static	Kernel	(280, 121)	(40, 14)	'Kernel'
45	menu-item	Tabs	(328, 114)	(46, 28)	''
46	section		(337, 115)	(28, 27)	'Tabs'
47	static	Tabs	(337, 121)	(28, 14)	'Tabs'
48	menu-item	Settings	(373, 114)	(67, 28)	''
49	section		(382, 115)	(49, 27)	'Settings'
50	static	Settings	(382, 121)	(49, 14)	'Settings'
51	menu-item	Help	(439, 114)	(47, 28)	''
52	section		(448, 115)	(29, 27)	'Help'
53	static	Help	(448, 121)	(29, 14)	'Help'
